Prenom
Adrian
Adrien
Alan
Alberto
Aleksandar
Alessandro
Alessio
Alex
Alexandre
Alison
Allan
Anaïs
André
Andréane
Angelina
Anthony
Antonin
Arbri
Arnaud
Arsenii
Arthur
Arun
Augustin
Aurélien
Axel
Ayman
Ayron
Baptiste
Bartholomé
Bastien
Benoît
Brice Marcel
Bruno
Camille
Charline
Clément
Colin
Cyril
David
Dina
Diogo
Dorian
Elia
Eliah
Elie
Elina
Eline
Eliott
Elisa
Emilien
Emmanuel
Enzo
Esteban
Ethan
Evan
Fabian
Fabien
Fabrice
Fatima
Filip
Filipe
Floran
Florian
Frédéric
Gabriel
Gaelle
Gaëtan
Gonçalo
Guilherme
Guillaume
Haydée
Helder
Hubert
Igor
Jacky
Jérémy
Jessica
Joachim
José
Joseph
Jules
Julien
Kaléa Henri
Karim
Kenny
Kevin
Kewin
Kim Laura
Kylian
Lambert
Laura
Laurent
Léa
Lenny
Leny
Lilian
Loris
Louis
Luan
Luca
Lucas
Magdalena
Malory
Marco
Mathias
Mathieu
Mathilde
Mathis
Matteo
Mattéo
Matthias
Mélysse
Messan
Mohamed
Nathan
Nils
Nino
Noah
Nolan
Núria
Olivier
Pascal
Patrice
Paul
Pauline
Paulo
Pedro
Philippe
Pierre
Pol
Quentin
Rafael
Raphaël
Rayan
Rémy
Ricardo
Riccardo
Rinor
Robin
Rodrigo
Romain
Ryan
Sacha
Said
Sajidur
Samuel
Sébastien
Serge
Simon
Stève
Terry
Thibaut
Thomas
Timéo
Tom
Valentin
Vanessa
Vicente
Vincent
Virgílio
Wilson
Yacine
Yanis
Yann
Yolan
