PKLocNb;NPA;LocName
274;4013;Basel
275;4015;Basel
276;4016;Basel
277;4017;Basel
278;4018;Basel
279;4019;Basel
280;4020;Basel
281;4021;Basel
282;4023;Basel
283;4024;Basel
284;4025;Basel
285;4027;Basel
286;4028;Basel
287;4030;Basel
288;4031;Basel
289;4032;Basel
290;4051;Basel
291;4052;Basel
292;4053;Basel
293;4054;Basel
294;4055;Basel
295;4056;Basel
296;4057;Basel
297;4058;Basel
298;4059;Basel
299;4091;Basel
300;4000;Basel 2 Briefausgabe
301;4005;Basel 5 Ausgabe
302;4002;Basel KPD
303;4039;Basel KPD F
304;4040;Basel Postcheckamt
305;4002;Basel TD
306;4040;Basel Verarbeitungszentru
307;2854;Bassecourt
308;1996;Basse-Nendaz
309;8303;Bassersdorf
310;1269;Bassins
311;3315;Bätterkinden
312;4112;Bättwil
313;4112;Bättwil-Flüh
314;6466;Bauen
315;1446;Baulmes
316;8494;Bauma
317;1372;Bavois
318;9602;Bazenheid
319;3803;Beatenberg
320;6375;Beckenried
321;6930;Bedano
322;6981;Bedigliora
323;6781;Bedretto
324;8228;Beggingen
325;1268;Begnins
326;5637;Beinwil (Freiamt)
327;5712;Beinwil am See
328;4229;Beinwil SO
329;3914;Belalp
330;1782;Belfaux
331;4512;Bellach
332;2713;Bellelay
333;1585;Bellerive VD
334;1293;Bellevue
335;5454;Bellikon
336;6500;Bellinzona
337;6501;Bellinzona
338;6503;Bellinzona
339;6506;Bellinzona
340;6500;Bellinzona 1 Dist Lettere
341;6500;Bellinzona 2
342;6500;Bellinzona 4
343;6500;Bellinzona 5
344;6500;Bellinzona centro servizi
345;6500;Bellinzona DCP
346;6501;Bellinzona DT
347;2564;Bellmund
348;3997;Bellwald
349;1092;Belmont-sur-Lausanne
350;1432;Belmont-sur-Yverdon
351;3123;Belp
352;3124;Belpberg
353;2744;Belprahon
354;8121;Benglen
355;8717;Benken SG
356;8463;Benken ZH
357;8836;Bennau
358;4431;Bennwil
359;5636;Benzenschwil
360;1038;Bercher
361;8415;Berg am Irchel
362;9305;Berg SG
363;8572;Berg TG
364;8962;Bergdietikon
365;7482;Bergün/Bravuogn
366;8965;Berikon
367;8965;Berikon 1
368;8965;Berikon 2 Dorf
369;8222;Beringen
370;3376;Berken
371;1680;Berlens
372;8267;Berlingen
373;3000;Bern
374;3001;Bern
375;3003;Bern
376;3004;Bern
377;3005;Bern
378;3006;Bern
379;3007;Bern
380;3008;Bern
381;3010;Bern
382;3011;Bern
383;3012;Bern
384;3013;Bern
385;3014;Bern
386;3015;Bern
387;3018;Bern
388;3019;Bern
389;3020;Bern
390;3024;Bern
391;3027;Bern
392;3030;Bern
393;3000;Bern 1 Briefausgabe
394;3000;Bern 11
395;3000;Bern 13
396;3000;Bern 14
397;3000;Bern 15
398;3000;Bern 16
399;3000;Bern 17
400;3000;Bern 2
401;3000;Bern 21
402;3000;Bern 22
403;3000;Bern 23
404;3000;Bern 25
405;3000;Bern 26
406;3000;Bern 29
407;3003;Bern 3 Nationalrat
408;3003;Bern 3 Ständerat
409;3030;Bern 30
410;3000;Bern 31
411;3000;Bern 32
412;3000;Bern 5
413;3000;Bern 6
414;3000;Bern 7
415;3000;Bern 8
416;3000;Bern 9
417;3029;Bern Informatikdienste PT
418;3030;Bern KPD
419;3000;Bern Radio Schweiz
420;3002;Bern RZC I Betrieb
421;3030;Bern TD
422;3040;Bern Verarbeitungszentrum
423;9442;Berneck
424;1233;Bernex
425;9304;Bernhardzell
426;1149;Berolle
427;6215;Beromünster
428;8892;Berschis
